,TF,target,importance
123,FLT3,IL1R2,0.882298707337884
124,CEACAM8,IL1R2,0.8073840459630838
125,IDO1,IL1R2,-0.9200589581669028
126,FN1,IL1R2,0.5449773693835358
127,FOS,IL1R2,0.469230846081678
128,C3AR1,IL1R2,0.16754547966674
129,EGR2,IL1R2,-0.11561885752659362
130,USP9Y,IL1R2,0.617061418123476
131,C1QB,IL1R2,0.040190532643238186
132,LCN2,IL1R2,0.8418904489340862
133,CXCL1,IL1R2,0.11945785118309835
134,CTSG,IL1R2,0.9047188647395648
135,SPACA3,IL1R2,0.607883063685671
136,CD27,IL1R2,-0.675256099895875
137,CAMP,IL1R2,0.8499023092537238
138,LRRN3,IL1R2,-0.6443344012855611
139,IL1R1,IL1R2,0.7680675021191739
140,SLC11A1,IL1R2,0.8098570717574171
141,F2RL1,IL1R2,0.7114898747599347
142,SERPING1,IL1R2,-0.9406343662166329
143,TCF7,IL1R2,-0.6290163838789807
144,HLA-DRB4,IL32,0.38519127218026944
145,HLA-DQA1,IL32,-0.337471058979657
146,HLA-DQB1,IL32,-0.05245567866155939
147,IL1R2,IL32,-0.3305339875163592
148,IL32,IL32,1.0
149,FCER1A,IL32,0.3787260957960772
150,IL8,IL32,0.5334942065823751
151,LTF,IL32,-0.6277930762648892
152,ARG1,IL32,-0.4913164873464485
153,EGR1,IL32,-0.3479672964122921
154,CHIT1,IL32,-0.6605065016219526
155,CEACAM6,IL32,-0.6393586180977354
156,PTGS2,IL32,0.4969389669030597
157,PTGDR2,IL32,0.6216483760890326
158,IL3RA,IL32,0.398898536352842
159,FLT3,IL32,-0.5958309785708668
160,CEACAM8,IL32,-0.6195067046855556
161,IDO1,IL32,0.060366640534894135
162,FN1,IL32,0.14705454337921575
163,FOS,IL32,-0.010431372407337838
164,C3AR1,IL32,0.4593798216138376
165,EGR2,IL32,0.6345111902845213
166,USP9Y,IL32,-0.732384010296118
167,C1QB,IL32,-0.912844301715553
168,LCN2,IL32,-0.5534264785382214
169,CXCL1,IL32,0.3924196561980844
170,CTSG,IL32,-0.5617471577231751
171,SPACA3,IL32,-0.7605658905867619
172,CD27,IL32,-0.003211267943465563
173,CAMP,IL32,-0.6331254207411178
174,LRRN3,IL32,0.26132836125380154
175,IL1R1,IL32,-0.558085175979929
176,SLC11A1,IL32,0.07573059338012927
177,F2RL1,IL32,0.14632884873018245
178,SERPING1,IL32,0.22218081354439626
179,TCF7,IL32,-0.2770439026466567
180,HLA-DRB4,FCER1A,0.4853978537975865
181,HLA-DQA1,FCER1A,0.2558950795714484
182,HLA-DQB1,FCER1A,-0.12738802795747595
183,IL1R2,FCER1A,-0.972642704068389
184,IL32,FCER1A,0.3787260957960772
185,FCER1A,FCER1A,1.0
186,IL8,FCER1A,0.5410962365754977
187,LTF,FCER1A,-0.8379663574810844
188,ARG1,FCER1A,-0.9548260673731884
189,EGR1,FCER1A,-0.6883028297035572
190,CHIT1,FCER1A,-0.7199074861880536
191,CEACAM6,FCER1A,-0.7910197963884814
192,PTGS2,FCER1A,0.24332539641545325
193,PTGDR2,FCER1A,0.8875740028328555
194,IL3RA,FCER1A,0.6761626971319008
195,FLT3,FCER1A,-0.90340170192365
196,CEACAM8,FCER1A,-0.8174019815308593
197,IDO1,FCER1A,0.8183369350150507
198,FN1,FCER1A,-0.5794421091274392
199,FOS,FCER1A,-0.26104071131581325
200,C3AR1,FCER1A,-0.29196296422516216
201,EGR2,FCER1A,0.16105831077735822
202,USP9Y,FCER1A,-0.6227407680338921
203,C1QB,FCER1A,-0.15795594380544753
204,LCN2,FCER1A,-0.8114567428777173
205,CXCL1,FCER1A,0.09585660342780693
206,CTSG,FCER1A,-0.8881813136384082
207,SPACA3,FCER1A,-0.6286340872032599
208,CD27,FCER1A,0.5406164892732563
209,CAMP,FCER1A,-0.8375330203673357
210,LRRN3,FCER1A,0.5698564389915547
211,IL1R1,FCER1A,-0.7000476179663544
212,SLC11A1,FCER1A,-0.7429434021482407
213,F2RL1,FCER1A,-0.5973821766876234
214,SERPING1,FCER1A,0.8380104956874213
215,TCF7,FCER1A,0.5102992767020141
216,HLA-DRB4,IL8,0.9788034524240584
217,HLA-DQA1,IL8,-0.6718843773751402
218,HLA-DQB1,IL8,-0.8203422277088186
219,IL1R2,IL8,-0.342473719044727
220,IL32,IL8,0.5334942065823751
221,FCER1A,IL8,0.5410962365754977
222,IL8,IL8,1.0
223,LTF,IL8,-0.4010277614401975
224,ARG1,IL8,-0.41223858876058
225,EGR1,IL8,-0.04832020705344443
226,CHIT1,IL8,-0.2999230171966995
227,CEACAM6,IL8,-0.3419539686041278
228,PTGS2,IL8,0.945177535732294
229,PTGDR2,IL8,0.5807070098153373
230,IL3RA,IL8,0.9675043773682186
231,FLT3,IL8,-0.4794026762624435
232,CEACAM8,IL8,-0.3942486949287288
233,IDO1,IL8,-0.03983142452320432
234,FN1,IL8,-0.4121058033712774
235,FOS,IL8,0.6245542337975399
236,C3AR1,IL8,-0.468685325783155
