IL1R2 FN1 3.015616850134941
FN1 IL1R2 3.015616850134941
FN1 F2RL1 2.9921347234216125
F2RL1 FN1 2.9921347234216125
FN1 IL32 2.923463974964757
IL32 FN1 2.923463974964757
SLC11A1 FN1 2.910096327953018
FN1 SLC11A1 2.910096327953018
FN1 CXCL1 2.6763444046594076
CXCL1 FN1 2.6763444046594076
FN1 FOS 2.6145968380254647
FOS FN1 2.6145968380254647
IL1R2 C3AR1 2.6131429408145626
C3AR1 IL1R2 2.6131429408145617
PTGS2 FN1 2.603698319009232
FN1 PTGS2 2.603698319009232
C3AR1 FN1 2.0248861077351674
FN1 C3AR1 2.0248861077351674
HLA-DRB4 FN1 1.793901378706432
FN1 HLA-DRB4 1.793901378706432
FN1 IL8 1.7279226017406684
IL8 FN1 1.7279226017406681
ARG1 C3AR1 1.4935847725592282
C3AR1 ARG1 1.4935847725592282
PTGDR2 C1QB 1.4424103375811188
C1QB PTGDR2 1.4424103375811188
FN1 ARG1 1.4360379337581144
ARG1 FN1 1.4360379337581144
C1QB FCER1A 1.3318593859849077
FCER1A C1QB 1.3318593859849073
SLC11A1 C3AR1 1.2285729306383757
C3AR1 SLC11A1 1.2285729306383755
PTGDR2 IDO1 1.1925963381506852
IDO1 PTGDR2 1.1925963381506848
PTGDR2 FCER1A 1.1009090277072313
FCER1A PTGDR2 1.1009090277072309
FCER1A IDO1 1.0873626462071515
IDO1 FCER1A 1.0873626462071515
PTGDR2 SERPING1 1.0718977538039138
SERPING1 PTGDR2 1.0718977538039138
C1QB IDO1 1.0480531231725791
IDO1 C1QB 1.0480531231725791
FCER1A SERPING1 1.025791161337949
SERPING1 FCER1A 1.025791161337949
IL3RA PTGDR2 1.0230990053615583
PTGDR2 IL3RA 1.0230990053615583
IL3RA FCER1A 1.0024788530376831
FCER1A IL3RA 1.0024788530376831
IL3RA IDO1 0.9986369488096025
IDO1 IL3RA 0.9986369488096025
SPACA3 USP9Y 0.9982309736310986
USP9Y SPACA3 0.9982309736310981
SERPING1 IDO1 0.9965042869035349
IDO1 SERPING1 0.9965042869035349
CEACAM8 LTF 0.9953070987286716
LTF CEACAM8 0.9953070987286707
CEACAM8 CEACAM6 0.9948044302444482
CEACAM6 CEACAM8 0.9948044302444478
CAMP LTF 0.9945778488590176
LTF CAMP 0.9945778488590171
IL1R2 HLA-DQB1 0.9928897588616075
HLA-DQB1 IL1R2 0.9928897588616072
CAMP LCN2 0.9906367556209338
LCN2 CAMP 0.9906367556209333
FLT3 CTSG 0.9883721920196771
CTSG FLT3 0.9883721920196766
LCN2 LTF 0.9859640311320428
LTF LCN2 0.9859640311320423
PTGS2 CXCL1 0.985584146786029
CXCL1 PTGS2 0.9855841467860286
CEACAM6 LTF 0.9854127292554402
LTF CEACAM6 0.9854127292554398
HLA-DRB4 IL8 0.9832804345332821
IL8 HLA-DRB4 0.9832804345332816
CEACAM8 CAMP 0.9829311970535163
CAMP CEACAM8 0.9829311970535163
CEACAM8 LCN2 0.9817692871689668
LCN2 CEACAM8 0.9817692871689668
CEACAM6 LCN2 0.9810269886614941
LCN2 CEACAM6 0.9810269886614936
CAMP CEACAM6 0.9759274376131324
CEACAM6 CAMP 0.9759274376131319
CEACAM6 CHIT1 0.9706182591824309
CHIT1 CEACAM6 0.9706182591824305
CTSG CAMP 0.9694931723410738
CAMP CTSG 0.9694931723410738
CAMP FLT3 0.9618686940592119
FLT3 CAMP 0.9618686940592115
C1QB SERPING1 0.9594638143940082
SERPING1 C1QB 0.9594638143940082
CEACAM6 IL1R1 0.9583250760237472
IL1R1 CEACAM6 0.9583250760237467
FLT3 LTF 0.9577361169965781
LTF FLT3 0.9577361169965777
CHIT1 IL1R1 0.9574635191965492
IL1R1 CHIT1 0.9574635191965487
LCN2 IL1R1 0.9553082736976805
IL1R1 LCN2 0.95530827369768
SLC11A1 F2RL1 0.9549970993358647
F2RL1 SLC11A1 0.9549970993358647
EGR1 IL1R1 0.9549176578867051
IL1R1 EGR1 0.9549176578867051
CTSG LTF 0.9525925188728119
LTF CTSG 0.9525925188728115
USP9Y CHIT1 0.9514543549460649
CHIT1 USP9Y 0.9514543549460645
CTSG LCN2 0.9505791875365306
LCN2 CTSG 0.9505791875365301
SPACA3 CHIT1 0.949579980402826
CHIT1 SPACA3 0.9495799804028255
IL8 IL3RA 0.9483799096572378
IL3RA IL8 0.9483799096572374
CHIT1 CEACAM8 0.9470468423416271
CEACAM8 CHIT1 0.9470468423416266
FLT3 LCN2 0.9316226115174683
LCN2 FLT3 0.9316226115174678
EGR1 CHIT1 0.9301364364794721
CHIT1 EGR1 0.9301364364794716
CEACAM8 IL1R1 0.9296747023955059
IL1R1 CEACAM8 0.9296747023955054
HLA-DRB4 IL3RA 0.9292802826483236
IL3RA HLA-DRB4 0.9292802826483236
FLT3 CEACAM8 0.9282209895108211
CEACAM8 FLT3 0.9282209895108207
ARG1 CTSG 0.9281168055234723
CTSG ARG1 0.9281168055234723
LCN2 EGR1 0.9258511286401941
EGR1 LCN2 0.9258511286401941
EGR1 CEACAM6 0.9244190505098825
CEACAM6 EGR1 0.9244190505098816
